application_type,country_raw,country,iso3,2019,2020,2021,2022,2023,2024,2025_jan_jul
TR,Bulgaria,Bulgaria,BGR,0,0,--,0,0,0,0
TR,Burkina-Faso,Burkina Faso,BFA,0,0,0,0,10,0,0
TR,Burundi,Burundi,BDI,0,0,0,0,0,--,0
TR,Cambodia,Cambodia,KHM,0,0,0,--,0,0,0
TR,"Chad, Republic of",Chad,TCD,--,0,0,0,0,0,--
TR,Colombia,Colombia,COL,--,--,5,5,--,--,0
TR,"Congo, Democratic Repu","Congo, Democratic Republic of the",COD,--,0,0,--,0,0,0
TR,Croatia,Croatia,HRV,0,0,0,0,0,--,0
TR,Cuba,Cuba,CUB,--,0,0,--,--,0,--
TR,Cyprus,Cyprus,CYP,--,--,0,0,--,0,0
TR,Czech Republic,Czech Republic,CZE,0,--,0,0,--,0,0
TR,Democratic Republic of S,Sudan,SDN,0,5,0,--,--,0,0
TR,Denmark,Denmark,DNK,0,0,0,0,--,0,0
TR,Ecuador,Ecuador,ECU,0,0,0,--,0,0,0
TR,Egypt,Egypt,EGY,5,5,5,5,--,--,0
TR,El Salvador,El Salvador,SLV,--,--,0,0,--,--,0
TR,Ethiopia,Ethiopia,ETH,--,0,--,--,--,--,0
TR,Federal Republic of Came,Cameroon,CMR,0,0,0,--,0,--,0
TR,Federal Republic of Germ,Germany,DEU,0,--,--,0,--,0,0
TR,France,France,FRA,0,--,0,0,0,0,0
TR,Georgia,Georgia,GEO,0,0,0,0,0,--,0
TR,Ghana,Ghana,GHA,0,0,0,--,0,0,0
TR,Grenada,Grenada,GRD,0,0,0,0,--,--,0
TR,Guatemala,Guatemala,GTM,--,0,0,0,0,0,0
TR,"Guinea, Republic of",Guinea,GIN,0,--,0,--,0,0,0
TR,Guyana,Guyana,GUY,--,0,0,0,--,0,0
TR,Haiti,Haiti,HTI,--,0,--,--,--,0,0
TR,Honduras,Honduras,HND,0,0,--,0,0,0,0
TR,Hong Kong SAR,Hong Kong,HKG,--,--,0,0,0,0,0
TR,India,India,IND,35,10,30,95,60,15,--
TR,Iran,Iran,IRN,30,5,15,15,10,5,--
TR,Iraq,Iraq,IRQ,10,--,--,15,0,--,0
TR,Israel,Israel,ISR,--,0,0,0,0,0,0
TR,Italy,Italy,ITA,--,0,0,--,0,--,0
TR,Japan,Japan,JPN,--,0,0,0,0,0,0
TR,Jordan,Jordan,JOR,--,--,--,--,--,0,0
TR,Kazakhstan,Kazakhstan,KAZ,--,0,0,0,--,--,0
TR,"Kosovo, Republic of",Kosovo,UNK,10,0,0,10,10,--,0
TR,Kuwait,Kuwait,KWT,--,0,0,0,0,0,0
TR,Kyrgyzstan,Kyrgyzstan,KGZ,--,0,0,0,0,0,0
TR,Lebanon,Lebanon,LBN,15,10,15,15,10,5,0
TR,Mauritania,Mauritania,MRT,0,0,0,0,0,--,0
TR,Mexico,Mexico,MEX,--,--,--,--,--,0,0
TR,Moldova,Moldova,MDA,0,0,0,--,0,0,0
TR,"Mongolia, People's Repu",Mongolia,MNG,0,0,0,0,--,0,0
TR,"Montenegro, Republic of",Montenegro,MNE,0,0,0,--,0,0,0
TR,Morocco,Morocco,MAR,5,0,--,--,0,0,0
TR,Nepal,Nepal,NPL,--,0,0,0,--,0,0
TR,Nicaragua,Nicaragua,NIC,--,0,0,0,--,0,0
TR,Nigeria,Nigeria,NGA,0,0,--,--,10,--,5
TR,Norway,Norway,NOR,--,--,0,0,0,0,0
TR,Pakistan,Pakistan,PAK,55,10,--,5,10,5,--
TR,Palestinian Authority (Ga,Palestinian Authority (Gaza/West Bank),PSE,--,0,--,0,--,50,--
TR,"Panama, Republic of",Panama,PAN,0,0,--,0,0,0,0
TR,Peoples Republic of Beni,Benin,BEN,0,0,0,0,0,--,0
TR,People's Republic of Chin,China,CHN,320,45,135,100,105,20,20
TR,Peru,Peru,PER,5,--,--,--,10,--,0
TR,Philippines,Philippines,PHL,5,0,0,5,--,--,5
TR,Poland,Poland,POL,0,0,0,0,--,0,0
TR,Portugal,Portugal,PRT,0,0,0,0,--,0,0
TR,Republic of Ireland,Ireland,IRL,--,0,--,0,--,--,0
TR,Republic of Ivory Coast,Ivory Coast,CIV,0,0,0,0,--,--,0
TR,Republic of South Africa,South Africa,ZAF,10,--,--,5,--,--,--
TR,Romania,Romania,ROU,--,0,0,0,0,0,0
TR,Russia,Russia,RUS,110,50,50,15,20,20,10
TR,Rwanda,Rwanda,RWA,5,--,0,0,10,--,--
TR,Saudi Arabia,Saudi Arabia,SAU,5,--,--,5,0,0,0
TR,"Serbia, Republic of",Serbia,SRB,--,--,--,--,--,--,0
TR,Sierra Leone,Sierra Leone,SLE,--,0,0,0,0,0,0
TR,Socialist Republic of Viet,Vietnam,VNM,10,--,--,--,--,--,--
TR,"Somalia, Democratic Rep",Somalia,SOM,0,0,0,0,--,0,--
TR,"South Sudan, Republic O",South Sudan,SSD,--,0,0,0,0,0,0
TR,Sri Lanka,Sri Lanka,LKA,5,--,0,--,5,--,0
TR,St. Kitts-Nevis,Saint Kitts and Nevis,KNA,0,0,0,--,0,0,0
TR,Stateless,Stateless,,0,--,0,0,0,0,0
TR,Sweden,Sweden,SWE,--,0,--,0,--,0,0
TR,Switzerland,Switzerland,CHE,--,--,0,0,0,--,0
TR,Syria,Syria,SYR,--,0,--,0,--,--,0
TR,Tajikistan,Tajikistan,TJK,0,0,0,0,0,--,0
TR,Thailand,Thailand,THA,5,0,0,0,0,0,0
TR,The Netherlands,Netherlands,NLD,--,0,0,0,0,0,0
TR,"Trinidad and Tobago, Re",Trinidad and Tobago,TTO,--,0,--,0,0,0,0
TR,Tunisia,Tunisia,TUN,0,--,--,--,--,0,--
TR,Turkey,Turkey,TUR,--,0,--,--,0,--,0
TR,Uganda,Uganda,UGA,0,0,0,0,--,5,--
TR,Ukraine,Ukraine,UKR,15,--,--,150,205,25,5
TR,United Arab Emirates,United Arab Emirates,ARE,0,0,0,--,0,0,--
TR,United Kingdom and Ove,United Kingdom and Overseas Territories,GBR,--,--,--,--,--,--,--
TR,United States of America,United States of America,USA,--,0,0,0,0,0,0
TR,"Yemen, Republic of",Yemen,YEM,--,--,0,0,0,0,0
TR,Zimbabwe,Zimbabwe,ZWE,--,--,0,--,--,--,0
