country,year,month,value
Dominica,2025,July,20
Dominica,2025,August,30
Dominica,2025,September,50
Dominica,2025,October,25
Dominica,2025,November,50
Dominica,2025,December,45
Dominica,2025,Total,535
Dominica,2026,January,25
Dominica,2026,February,40
Dominica,2026,March,30
Dominica,2026,April,30
Dominica,2026,May,55
Dominica,2026,Total,185
Dominican Republic,2023,January,520
Dominican Republic,2023,February,590
Dominican Republic,2023,March,500
Dominican Republic,2023,April,340
Dominican Republic,2023,May,625
Dominican Republic,2023,June,670
Dominican Republic,2023,July,475
Dominican Republic,2023,August,685
Dominican Republic,2023,September,865
Dominican Republic,2023,October,750
Dominican Republic,2023,November,1085
Dominican Republic,2023,December,585
Dominican Republic,2023,Total,7690
Dominican Republic,2024,January,565
Dominican Republic,2024,February,650
Dominican Republic,2024,March,1210
Dominican Republic,2024,April,565
Dominican Republic,2024,May,915
Dominican Republic,2024,June,345
Dominican Republic,2024,July,480
Dominican Republic,2024,August,830
Dominican Republic,2024,September,415
Dominican Republic,2024,October,300
Dominican Republic,2024,November,910
Dominican Republic,2024,December,570
Dominican Republic,2024,Total,7760
Dominican Republic,2025,January,680
Dominican Republic,2025,February,885
Dominican Republic,2025,March,900
Dominican Republic,2025,April,680
Dominican Republic,2025,May,865
Dominican Republic,2025,June,660
Dominican Republic,2025,July,800
Dominican Republic,2025,August,1040
Dominican Republic,2025,September,710
Dominican Republic,2025,October,810
Dominican Republic,2025,November,510
Dominican Republic,2025,December,495
Dominican Republic,2025,Total,9035
Dominican Republic,2026,January,705
Dominican Republic,2026,February,915
Dominican Republic,2026,March,915
Dominican Republic,2026,April,830
Dominican Republic,2026,May,995
Dominican Republic,2026,Total,4360
"East Timor, Democratic Republic of",2023,January,0
"East Timor, Democratic Republic of",2023,February,0
"East Timor, Democratic Republic of",2023,March,0
"East Timor, Democratic Republic of",2023,April,
"East Timor, Democratic Republic of",2023,May,0
"East Timor, Democratic Republic of",2023,June,
"East Timor, Democratic Republic of",2023,July,0
"East Timor, Democratic Republic of",2023,August,0
"East Timor, Democratic Republic of",2023,September,0
"East Timor, Democratic Republic of",2023,October,0
"East Timor, Democratic Republic of",2023,November,0
"East Timor, Democratic Republic of",2023,December,0
"East Timor, Democratic Republic of",2023,Total,
"East Timor, Democratic Republic of",2024,January,0
"East Timor, Democratic Republic of",2024,February,
"East Timor, Democratic Republic of",2024,March,0
"East Timor, Democratic Republic of",2024,April,
"East Timor, Democratic Republic of",2024,May,0
"East Timor, Democratic Republic of",2024,June,0
"East Timor, Democratic Republic of",2024,July,
"East Timor, Democratic Republic of",2024,August,
"East Timor, Democratic Republic of",2024,September,0
"East Timor, Democratic Republic of",2024,October,0
"East Timor, Democratic Republic of",2024,November,0
"East Timor, Democratic Republic of",2024,December,0
"East Timor, Democratic Republic of",2024,Total,
"East Timor, Democratic Republic of",2025,January,0
"East Timor, Democratic Republic of",2025,February,0
"East Timor, Democratic Republic of",2025,March,
"East Timor, Democratic Republic of",2025,April,0
"East Timor, Democratic Republic of",2025,May,0
"East Timor, Democratic Republic of",2025,June,0
"East Timor, Democratic Republic of",2025,July,
"East Timor, Democratic Republic of",2025,August,0
"East Timor, Democratic Republic of",2025,September,0
"East Timor, Democratic Republic of",2025,October,0
"East Timor, Democratic Republic of",2025,November,0
"East Timor, Democratic Republic of",2025,December,
"East Timor, Democratic Republic of",2025,Total,5
"East Timor, Democratic Republic of",2026,January,0
"East Timor, Democratic Republic of",2026,February,0
"East Timor, Democratic Republic of",2026,March,0
"East Timor, Democratic Republic of",2026,April,0
"East Timor, Democratic Republic of",2026,May,0
"East Timor, Democratic Republic of",2026,Total,0
Ecuador,2023,January,315
Ecuador,2023,February,445
Ecuador,2023,March,405
Ecuador,2023,April,315
Ecuador,2023,May,700
Ecuador,2023,June,1215
Ecuador,2023,July,330
Ecuador,2023,August,630
Ecuador,2023,September,1750
Ecuador,2023,October,640
Ecuador,2023,November,440
Ecuador,2023,December,470
Ecuador,2023,Total,7655
Ecuador,2024,January,565
Ecuador,2024,February,425
Ecuador,2024,March,810
Ecuador,2024,April,995
Ecuador,2024,May,575
Ecuador,2024,June,440
Ecuador,2024,July,990
Ecuador,2024,August,910
Ecuador,2024,September,1085
Ecuador,2024,October,260
Ecuador,2024,November,475
Ecuador,2024,December,435
Ecuador,2024,Total,7960
Ecuador,2025,January,830
Ecuador,2025,February,1350
Ecuador,2025,March,1225
Ecuador,2025,April,1085
Ecuador,2025,May,1030
Ecuador,2025,June,995
Ecuador,2025,July,980
Ecuador,2025,August,700
Ecuador,2025,September,1005
Ecuador,2025,October,990
Ecuador,2025,November,895
Ecuador,2025,December,905
Ecuador,2025,Total,11990
Ecuador,2026,January,1035
Ecuador,2026,February,910
Ecuador,2026,March,1130
Ecuador,2026,April,1110
Ecuador,2026,May,1250
Ecuador,2026,Total,5435
Egypt,2023,January,440
Egypt,2023,February,1035
Egypt,2023,March,1120
Egypt,2023,April,1320
Egypt,2023,May,1240
Egypt,2023,June,1055
Egypt,2023,July,630
Egypt,2023,August,815
Egypt,2023,September,600
Egypt,2023,October,595
Egypt,2023,November,640
Egypt,2023,December,600
Egypt,2023,Total,10085
Egypt,2024,January,780
Egypt,2024,February,880
Egypt,2024,March,1265
Egypt,2024,April,725
Egypt,2024,May,700
Egypt,2024,June,920
Egypt,2024,July,715
Egypt,2024,August,720
Egypt,2024,September,620
Egypt,2024,October,1060
Egypt,2024,November,610
Egypt,2024,December,590
Egypt,2024,Total,9585
Egypt,2025,January,585
Egypt,2025,February,655
Egypt,2025,March,855
Egypt,2025,April,630
Egypt,2025,May,585
Egypt,2025,June,465
Egypt,2025,July,660
Egypt,2025,August,485
Egypt,2025,September,905
Egypt,2025,October,785
Egypt,2025,November,515
Egypt,2025,December,780
Egypt,2025,Total,7900
Egypt,2026,January,765
Egypt,2026,February,910
Egypt,2026,March,1115
Egypt,2026,April,1060
Egypt,2026,May,910
Egypt,2026,Total,4760
El Salvador,2023,January,260
El Salvador,2023,February,180
El Salvador,2023,March,225
El Salvador,2023,April,155
El Salvador,2023,May,220
El Salvador,2023,June,245
El Salvador,2023,July,115
El Salvador,2023,August,255
El Salvador,2023,September,335
El Salvador,2023,October,260
El Salvador,2023,November,350
El Salvador,2023,December,170
El Salvador,2023,Total,2775
El Salvador,2024,January,185
El Salvador,2024,February,210
El Salvador,2024,March,395
El Salvador,2024,April,215
El Salvador,2024,May,265
El Salvador,2024,June,145
El Salvador,2024,July,120
El Salvador,2024,August,215
El Salvador,2024,September,95
El Salvador,2024,October,150
El Salvador,2024,November,290
El Salvador,2024,December,230
El Salvador,2024,Total,2515
El Salvador,2025,January,250
El Salvador,2025,February,355
El Salvador,2025,March,300
El Salvador,2025,April,265
El Salvador,2025,May,410
El Salvador,2025,June,295
El Salvador,2025,July,310
El Salvador,2025,August,235
El Salvador,2025,September,235
El Salvador,2025,October,260
El Salvador,2025,November,245
El Salvador,2025,December,185
El Salvador,2025,Total,3335
El Salvador,2026,January,265
El Salvador,2026,February,365
El Salvador,2026,March,270
El Salvador,2026,April,410
El Salvador,2026,May,300
El Salvador,2026,Total,1615
Equatorial Guinea,2023,January,0
Equatorial Guinea,2023,February,0
Equatorial Guinea,2023,March,
Equatorial Guinea,2023,April,5
Equatorial Guinea,2023,May,5
Equatorial Guinea,2023,June,0
Equatorial Guinea,2023,July,
Equatorial Guinea,2023,August,
Equatorial Guinea,2023,September,0
Equatorial Guinea,2023,October,0
Equatorial Guinea,2023,November,
Equatorial Guinea,2023,December,
Equatorial Guinea,2023,Total,20
Equatorial Guinea,2024,January,
Equatorial Guinea,2024,February,
Equatorial Guinea,2024,March,
Equatorial Guinea,2024,April,5
Equatorial Guinea,2024,May,10
Equatorial Guinea,2024,June,
Equatorial Guinea,2024,July,
Equatorial Guinea,2024,August,
Equatorial Guinea,2024,September,
Equatorial Guinea,2024,October,0
Equatorial Guinea,2024,November,
Equatorial Guinea,2024,December,
Equatorial Guinea,2024,Total,35
Equatorial Guinea,2025,January,
Equatorial Guinea,2025,February,
Equatorial Guinea,2025,March,
Equatorial Guinea,2025,April,
Equatorial Guinea,2025,May,
Equatorial Guinea,2025,June,
Equatorial Guinea,2025,July,
Equatorial Guinea,2025,August,
Equatorial Guinea,2025,September,
Equatorial Guinea,2025,October,
Equatorial Guinea,2025,November,0
Equatorial Guinea,2025,December,0
Equatorial Guinea,2025,Total,15
Equatorial Guinea,2026,January,
Equatorial Guinea,2026,February,
Equatorial Guinea,2026,March,
Equatorial Guinea,2026,April,0
Equatorial Guinea,2026,May,
Equatorial Guinea,2026,Total,10
Eritrea,2023,January,35
Eritrea,2023,February,20
Eritrea,2023,March,25
Eritrea,2023,April,50
Eritrea,2023,May,65
Eritrea,2023,June,30
Eritrea,2023,July,25
Eritrea,2023,August,30
Eritrea,2023,September,15
Eritrea,2023,October,35
Eritrea,2023,November,25
Eritrea,2023,December,
Eritrea,2023,Total,365
Eritrea,2024,January,30
Eritrea,2024,February,20
Eritrea,2024,March,20
Eritrea,2024,April,40
Eritrea,2024,May,25
Eritrea,2024,June,40
Eritrea,2024,July,30
Eritrea,2024,August,10
Eritrea,2024,September,110
Eritrea,2024,October,70
Eritrea,2024,November,30
Eritrea,2024,December,10
Eritrea,2024,Total,440
Eritrea,2025,January,15
Eritrea,2025,February,60
Eritrea,2025,March,20
Eritrea,2025,April,65
Eritrea,2025,May,90
Eritrea,2025,June,70
Eritrea,2025,July,20
Eritrea,2025,August,40
Eritrea,2025,September,45
Eritrea,2025,October,30
Eritrea,2025,November,15
Eritrea,2025,December,45
Eritrea,2025,Total,520
Eritrea,2026,January,45
Eritrea,2026,February,45
Eritrea,2026,March,40
Eritrea,2026,April,70
Eritrea,2026,May,90
Eritrea,2026,Total,290
Estonia,2023,January,0
Estonia,2023,February,0
Estonia,2023,March,
Estonia,2023,April,0
Estonia,2023,May,0
Estonia,2023,June,0
Estonia,2023,July,
Estonia,2023,August,0
Estonia,2023,September,0
Estonia,2023,October,
Estonia,2023,November,0
Estonia,2023,December,0
Estonia,2023,Total,5
Estonia,2024,January,0
Estonia,2024,February,0
Estonia,2024,March,0
Estonia,2024,April,0
Estonia,2024,May,0
Estonia,2024,June,0
Estonia,2024,July,0
Estonia,2024,August,0
Estonia,2024,September,
Estonia,2024,October,0
Estonia,2024,November,0
Estonia,2024,December,0
Estonia,2024,Total,
Estonia,2025,January,0
Estonia,2025,February,0
Estonia,2025,March,0
Estonia,2025,April,0
Estonia,2025,May,0
Estonia,2025,June,0
Estonia,2025,July,
Estonia,2025,August,0
Estonia,2025,September,0
Estonia,2025,October,
Estonia,2025,November,0
Estonia,2025,December,0
Estonia,2025,Total,5
Estonia,2026,January,0
Estonia,2026,February,0
Estonia,2026,March,0
Estonia,2026,April,0
Estonia,2026,May,0
Estonia,2026,Total,0
Ethiopia,2023,January,240
Ethiopia,2023,February,90
Ethiopia,2023,March,355
Ethiopia,2023,April,980
Ethiopia,2023,May,1415
Ethiopia,2023,June,455
Ethiopia,2023,July,175
Ethiopia,2023,August,200
Ethiopia,2023,September,640
Ethiopia,2023,October,525
Ethiopia,2023,November,405
Ethiopia,2023,December,225
Ethiopia,2023,Total,5705
Ethiopia,2024,January,195
Ethiopia,2024,February,360
Ethiopia,2024,March,235
Ethiopia,2024,April,270
Ethiopia,2024,May,665
Ethiopia,2024,June,390
Ethiopia,2024,July,505
Ethiopia,2024,August,400
Ethiopia,2024,September,270
Ethiopia,2024,October,295
Ethiopia,2024,November,250
Ethiopia,2024,December,185
Ethiopia,2024,Total,4015
Ethiopia,2025,January,255
Ethiopia,2025,February,230
Ethiopia,2025,March,205
Ethiopia,2025,April,200
Ethiopia,2025,May,250
Ethiopia,2025,June,265
Ethiopia,2025,July,325
Ethiopia,2025,August,295
Ethiopia,2025,September,200
Ethiopia,2025,October,230
Ethiopia,2025,November,220
Ethiopia,2025,December,180
Ethiopia,2025,Total,2855
Ethiopia,2026,January,270
Ethiopia,2026,February,360
Ethiopia,2026,March,315
Ethiopia,2026,April,260
Ethiopia,2026,May,325
Ethiopia,2026,Total,1535
Federal Republic of Cameroon,2023,January,745
Federal Republic of Cameroon,2023,February,405
Federal Republic of Cameroon,2023,March,510
Federal Republic of Cameroon,2023,April,1615
Federal Republic of Cameroon,2023,May,1135
Federal Republic of Cameroon,2023,June,905
Federal Republic of Cameroon,2023,July,575
Federal Republic of Cameroon,2023,August,470
Federal Republic of Cameroon,2023,September,450
Federal Republic of Cameroon,2023,October,450
Federal Republic of Cameroon,2023,November,475
Federal Republic of Cameroon,2023,December,775
Federal Republic of Cameroon,2023,Total,8505
Federal Republic of Cameroon,2024,January,870
Federal Republic of Cameroon,2024,February,630
Federal Republic of Cameroon,2024,March,615
Federal Republic of Cameroon,2024,April,720
Federal Republic of Cameroon,2024,May,1100
Federal Republic of Cameroon,2024,June,420
Federal Republic of Cameroon,2024,July,485
Federal Republic of Cameroon,2024,August,395
Federal Republic of Cameroon,2024,September,325
Federal Republic of Cameroon,2024,October,380
Federal Republic of Cameroon,2024,November,410
Federal Republic of Cameroon,2024,December,355
Federal Republic of Cameroon,2024,Total,6710
Federal Republic of Cameroon,2025,January,450
Federal Republic of Cameroon,2025,February,425
Federal Republic of Cameroon,2025,March,625
Federal Republic of Cameroon,2025,April,765
Federal Republic of Cameroon,2025,May,665
Federal Republic of Cameroon,2025,June,620
Federal Republic of Cameroon,2025,July,525
Federal Republic of Cameroon,2025,August,420
Federal Republic of Cameroon,2025,September,650
Federal Republic of Cameroon,2025,October,490
Federal Republic of Cameroon,2025,November,610
Federal Republic of Cameroon,2025,December,475
Federal Republic of Cameroon,2025,Total,6720
Federal Republic of Cameroon,2026,January,420
Federal Republic of Cameroon,2026,February,410
Federal Republic of Cameroon,2026,March,610
Federal Republic of Cameroon,2026,April,595
Federal Republic of Cameroon,2026,May,600
Federal Republic of Cameroon,2026,Total,2640
Federal Republic of Germany,2023,January,
Federal Republic of Germany,2023,February,
Federal Republic of Germany,2023,March,5
Federal Republic of Germany,2023,April,
Federal Republic of Germany,2023,May,10
Federal Republic of Germany,2023,June,5
Federal Republic of Germany,2023,July,5
Federal Republic of Germany,2023,August,20
Federal Republic of Germany,2023,September,10
Federal Republic of Germany,2023,October,5
Federal Republic of Germany,2023,November,
Federal Republic of Germany,2023,December,0
Federal Republic of Germany,2023,Total,65
Federal Republic of Germany,2024,January,
Federal Republic of Germany,2024,February,
Federal Republic of Germany,2024,March,
Federal Republic of Germany,2024,April,5
Federal Republic of Germany,2024,May,10
Federal Republic of Germany,2024,June,
Federal Republic of Germany,2024,July,10
Federal Republic of Germany,2024,August,10
Federal Republic of Germany,2024,September,10
Federal Republic of Germany,2024,October,
Federal Republic of Germany,2024,November,5
Federal Republic of Germany,2024,December,5
Federal Republic of Germany,2024,Total,60
Federal Republic of Germany,2025,January,
Federal Republic of Germany,2025,February,0
Federal Republic of Germany,2025,March,
Federal Republic of Germany,2025,April,
Federal Republic of Germany,2025,May,5
Federal Republic of Germany,2025,June,0
Federal Republic of Germany,2025,July,
Federal Republic of Germany,2025,August,15
Federal Republic of Germany,2025,September,10
Federal Republic of Germany,2025,October,5
Federal Republic of Germany,2025,November,
Federal Republic of Germany,2025,December,
Federal Republic of Germany,2025,Total,55
Federal Republic of Germany,2026,January,
Federal Republic of Germany,2026,February,5
Federal Republic of Germany,2026,March,
Federal Republic of Germany,2026,April,
Federal Republic of Germany,2026,May,0
Federal Republic of Germany,2026,Total,15
Federated States of Micronesia,2023,January,0
Federated States of Micronesia,2023,February,0
Federated States of Micronesia,2023,March,
Federated States of Micronesia,2023,April,0
Federated States of Micronesia,2023,May,0
Federated States of Micronesia,2023,June,0
Federated States of Micronesia,2023,July,
Federated States of Micronesia,2023,August,0
Federated States of Micronesia,2023,September,0
Federated States of Micronesia,2023,October,0
Federated States of Micronesia,2023,November,0
Federated States of Micronesia,2023,December,
Federated States of Micronesia,2023,Total,5
Federated States of Micronesia,2024,January,0
Federated States of Micronesia,2024,February,0
Federated States of Micronesia,2024,March,0
Federated States of Micronesia,2024,April,0
Federated States of Micronesia,2024,May,
Federated States of Micronesia,2024,June,
Federated States of Micronesia,2024,July,0
Federated States of Micronesia,2024,August,
Federated States of Micronesia,2024,September,0
Federated States of Micronesia,2024,October,0
Federated States of Micronesia,2024,November,0
Federated States of Micronesia,2024,December,0
Federated States of Micronesia,2024,Total,
Federated States of Micronesia,2025,January,0
Federated States of Micronesia,2025,February,0
Federated States of Micronesia,2025,March,0
Federated States of Micronesia,2025,April,0
Federated States of Micronesia,2025,May,0
Federated States of Micronesia,2025,June,0
Federated States of Micronesia,2025,July,0
Federated States of Micronesia,2025,August,
Federated States of Micronesia,2025,September,0
Federated States of Micronesia,2025,October,
Federated States of Micronesia,2025,November,0
Federated States of Micronesia,2025,December,
Federated States of Micronesia,2025,Total,
Federated States of Micronesia,2026,January,
Federated States of Micronesia,2026,February,0
Federated States of Micronesia,2026,March,0
Federated States of Micronesia,2026,April,0
Federated States of Micronesia,2026,May,0
Federated States of Micronesia,2026,Total,
Fiji,2023,January,120
Fiji,2023,February,130
Fiji,2023,March,140
Fiji,2023,April,185
Fiji,2023,May,195
Fiji,2023,June,235
Fiji,2023,July,100
Fiji,2023,August,140
Fiji,2023,September,165
Fiji,2023,October,65
Fiji,2023,November,70
Fiji,2023,December,155
Fiji,2023,Total,1695
Fiji,2024,January,75
Fiji,2024,February,145
Fiji,2024,March,100
Fiji,2024,April,205
Fiji,2024,May,140
Fiji,2024,June,85
Fiji,2024,July,155
Fiji,2024,August,105
Fiji,2024,September,100
Fiji,2024,October,80
Fiji,2024,November,90
Fiji,2024,December,50
Fiji,2024,Total,1330
Fiji,2025,January,55
Fiji,2025,February,135
Fiji,2025,March,110
Fiji,2025,April,90
Fiji,2025,May,105
Fiji,2025,June,110
Fiji,2025,July,130
Fiji,2025,August,60
Fiji,2025,September,60
Fiji,2025,October,85
Fiji,2025,November,85
Fiji,2025,December,80
Fiji,2025,Total,1120
Fiji,2026,January,45
Fiji,2026,February,125
Fiji,2026,March,110
Fiji,2026,April,70
Fiji,2026,May,120
Fiji,2026,Total,470
Finland,2023,January,0
Finland,2023,February,0
Finland,2023,March,
Finland,2023,April,
Finland,2023,May,0
Finland,2023,June,
Finland,2023,July,0
Finland,2023,August,0
Finland,2023,September,5
Finland,2023,October,0
Finland,2023,November,0
Finland,2023,December,
Finland,2023,Total,10
Finland,2024,January,0
Finland,2024,February,0
Finland,2024,March,0
Finland,2024,April,0
Finland,2024,May,0
Finland,2024,June,
Finland,2024,July,0
Finland,2024,August,
Finland,2024,September,0
Finland,2024,October,0
Finland,2024,November,0
Finland,2024,December,0
Finland,2024,Total,
Finland,2025,January,
Finland,2025,February,
Finland,2025,March,0
Finland,2025,April,0
Finland,2025,May,0
Finland,2025,June,0
Finland,2025,July,0
Finland,2025,August,
Finland,2025,September,
Finland,2025,October,
Finland,2025,November,0
Finland,2025,December,
Finland,2025,Total,15
Finland,2026,January,0
Finland,2026,February,0
Finland,2026,March,0
Finland,2026,April,0
Finland,2026,May,0
Finland,2026,Total,0
France,2023,January,20
France,2023,February,20
France,2023,March,25
France,2023,April,5
France,2023,May,15
France,2023,June,10
France,2023,July,15
France,2023,August,10
France,2023,September,25
France,2023,October,40
France,2023,November,15
France,2023,December,10
France,2023,Total,205
France,2024,January,
France,2024,February,5
France,2024,March,5
France,2024,April,10
France,2024,May,30
France,2024,June,25
France,2024,July,15
France,2024,August,30
France,2024,September,50
France,2024,October,50
France,2024,November,25
France,2024,December,10
France,2024,Total,260
France,2025,January,10
France,2025,February,5
France,2025,March,20
France,2025,April,10
France,2025,May,15
France,2025,June,5
France,2025,July,15
France,2025,August,40
France,2025,September,15
France,2025,October,65
France,2025,November,
France,2025,December,10
France,2025,Total,210
France,2026,January,10
France,2026,February,10
France,2026,March,5
France,2026,April,0
France,2026,May,
France,2026,Total,30
Gabon Republic,2023,January,40
Gabon Republic,2023,February,20
Gabon Republic,2023,March,30
Gabon Republic,2023,April,70
Gabon Republic,2023,May,75
Gabon Republic,2023,June,40
Gabon Republic,2023,July,35
Gabon Republic,2023,August,15
Gabon Republic,2023,September,25
Gabon Republic,2023,October,30
Gabon Republic,2023,November,15
Gabon Republic,2023,December,45
Gabon Republic,2023,Total,435
Gabon Republic,2024,January,20
Gabon Republic,2024,February,50
Gabon Republic,2024,March,40
Gabon Republic,2024,April,35
Gabon Republic,2024,May,30
Gabon Republic,2024,June,35
Gabon Republic,2024,July,45
Gabon Republic,2024,August,30
Gabon Republic,2024,September,40
Gabon Republic,2024,October,45
Gabon Republic,2024,November,30
Gabon Republic,2024,December,35
Gabon Republic,2024,Total,430
Gabon Republic,2025,January,35
Gabon Republic,2025,February,15
Gabon Republic,2025,March,5
Gabon Republic,2025,April,35
Gabon Republic,2025,May,25
Gabon Republic,2025,June,50
Gabon Republic,2025,July,40
Gabon Republic,2025,August,20
Gabon Republic,2025,September,15
Gabon Republic,2025,October,35
Gabon Republic,2025,November,30
Gabon Republic,2025,December,20
Gabon Republic,2025,Total,325
Gabon Republic,2026,January,15
Gabon Republic,2026,February,25
Gabon Republic,2026,March,20
Gabon Republic,2026,April,20
Gabon Republic,2026,May,30
Gabon Republic,2026,Total,105
Gambia,2023,January,15
Gambia,2023,February,15
Gambia,2023,March,25
Gambia,2023,April,230
Gambia,2023,May,50
Gambia,2023,June,40
Gambia,2023,July,30
Gambia,2023,August,15
Gambia,2023,September,15
Gambia,2023,October,20
Gambia,2023,November,30
Gambia,2023,December,15
Gambia,2023,Total,505
Gambia,2024,January,20
Gambia,2024,February,15
Gambia,2024,March,15
Gambia,2024,April,15
Gambia,2024,May,15
Gambia,2024,June,5
Gambia,2024,July,25
Gambia,2024,August,25
Gambia,2024,September,10
Gambia,2024,October,25
Gambia,2024,November,15
Gambia,2024,December,15
Gambia,2024,Total,200
Gambia,2025,January,10
Gambia,2025,February,15
Gambia,2025,March,45
Gambia,2025,April,20
Gambia,2025,May,25
Gambia,2025,June,10
Gambia,2025,July,15
Gambia,2025,August,15
Gambia,2025,September,40
Gambia,2025,October,25
Gambia,2025,November,20
Gambia,2025,December,5
Gambia,2025,Total,250
Gambia,2026,January,10
Gambia,2026,February,30
Gambia,2026,March,25
Gambia,2026,April,30
Gambia,2026,May,15
Gambia,2026,Total,110
Georgia,2023,January,15
Georgia,2023,February,75
Georgia,2023,March,165
Georgia,2023,April,30
Georgia,2023,May,55
Georgia,2023,June,30
Georgia,2023,July,90
Georgia,2023,August,35
Georgia,2023,September,25
Georgia,2023,October,60
Georgia,2023,November,80
Georgia,2023,December,75
Georgia,2023,Total,730
Georgia,2024,January,40
Georgia,2024,February,40
Georgia,2024,March,55
Georgia,2024,April,20
Georgia,2024,May,25
Georgia,2024,June,35
Georgia,2024,July,50
Georgia,2024,August,65
Georgia,2024,September,35
Georgia,2024,October,35
Georgia,2024,November,25
Georgia,2024,December,70
Georgia,2024,Total,490
Georgia,2025,January,50
Georgia,2025,February,15
Georgia,2025,March,80
Georgia,2025,April,50
Georgia,2025,May,50
Georgia,2025,June,65
Georgia,2025,July,35
Georgia,2025,August,30
Georgia,2025,September,25
Georgia,2025,October,40
Georgia,2025,November,25
Georgia,2025,December,30
Georgia,2025,Total,500
Georgia,2026,January,30
Georgia,2026,February,60
Georgia,2026,March,30
Georgia,2026,April,25
Georgia,2026,May,35
Georgia,2026,Total,175
Ghana,2023,January,300
Ghana,2023,February,1195
Ghana,2023,March,725
Ghana,2023,April,3245
Ghana,2023,May,1470
Ghana,2023,June,1845
Ghana,2023,July,2340
Ghana,2023,August,1990
Ghana,2023,September,795
Ghana,2023,October,850
Ghana,2023,November,1235
Ghana,2023,December,1580
Ghana,2023,Total,17575
Ghana,2024,January,3390
Ghana,2024,February,2640
Ghana,2024,March,1780
Ghana,2024,April,1495
Ghana,2024,May,1725
Ghana,2024,June,1365
Ghana,2024,July,835
Ghana,2024,August,775
Ghana,2024,September,1415
Ghana,2024,October,1315
Ghana,2024,November,1040
Ghana,2024,December,795
Ghana,2024,Total,18570
Ghana,2025,January,1025
Ghana,2025,February,630
Ghana,2025,March,590
Ghana,2025,April,810
Ghana,2025,May,1005
Ghana,2025,June,725
Ghana,2025,July,920
Ghana,2025,August,835
Ghana,2025,September,830
Ghana,2025,October,785
Ghana,2025,November,770
Ghana,2025,December,585
Ghana,2025,Total,9500
Ghana,2026,January,610
Ghana,2026,February,1000
Ghana,2026,March,925
Ghana,2026,April,1095
Ghana,2026,May,1190
Ghana,2026,Total,4820
Greece,2023,January,0
Greece,2023,February,5
Greece,2023,March,
Greece,2023,April,0
Greece,2023,May,10
Greece,2023,June,0
Greece,2023,July,
Greece,2023,August,5
Greece,2023,September,15
Greece,2023,October,5
Greece,2023,November,
Greece,2023,December,
Greece,2023,Total,50
Greece,2024,January,0
Greece,2024,February,
Greece,2024,March,5
Greece,2024,April,0
Greece,2024,May,
Greece,2024,June,
Greece,2024,July,
Greece,2024,August,
Greece,2024,September,5
Greece,2024,October,
Greece,2024,November,
Greece,2024,December,0
Greece,2024,Total,35
Greece,2025,January,
Greece,2025,February,
Greece,2025,March,
Greece,2025,April,
Greece,2025,May,
Greece,2025,June,0
Greece,2025,July,0
Greece,2025,August,5
Greece,2025,September,
Greece,2025,October,15
Greece,2025,November,
Greece,2025,December,
Greece,2025,Total,30
Greece,2026,January,0
Greece,2026,February,
Greece,2026,March,5
Greece,2026,April,0
Greece,2026,May,0
Greece,2026,Total,5
Grenada,2023,January,130
Grenada,2023,February,65
Grenada,2023,March,60
Grenada,2023,April,70
Grenada,2023,May,105
Grenada,2023,June,125
Grenada,2023,July,120
Grenada,2023,August,115
Grenada,2023,September,130
Grenada,2023,October,75
Grenada,2023,November,565
Grenada,2023,December,190
Grenada,2023,Total,1745
Grenada,2024,January,135
Grenada,2024,February,60
Grenada,2024,March,60
Grenada,2024,April,85
Grenada,2024,May,105
Grenada,2024,June,55
Grenada,2024,July,85
Grenada,2024,August,50
Grenada,2024,September,115
Grenada,2024,October,105
Grenada,2024,November,70
Grenada,2024,December,45
Grenada,2024,Total,975
Grenada,2025,January,75
Grenada,2025,February,50
Grenada,2025,March,85
Grenada,2025,April,90
Grenada,2025,May,105
Grenada,2025,June,90
Grenada,2025,July,80
Grenada,2025,August,55
Grenada,2025,September,100
Grenada,2025,October,65
Grenada,2025,November,80
Grenada,2025,December,65
Grenada,2025,Total,945
Grenada,2026,January,55
Grenada,2026,February,65
Grenada,2026,March,75
Grenada,2026,April,85
Grenada,2026,May,110
Grenada,2026,Total,395
Guatemala,2023,January,205
Guatemala,2023,February,210
Guatemala,2023,March,275
Guatemala,2023,April,155
Guatemala,2023,May,325
Guatemala,2023,June,290
Guatemala,2023,July,185
Guatemala,2023,August,290
Guatemala,2023,September,470
Guatemala,2023,October,305
Guatemala,2023,November,475
Guatemala,2023,December,245
Guatemala,2023,Total,3430
Guatemala,2024,January,210
Guatemala,2024,February,295
Guatemala,2024,March,450
Guatemala,2024,April,240
Guatemala,2024,May,360
Guatemala,2024,June,140
Guatemala,2024,July,160
Guatemala,2024,August,295
Guatemala,2024,September,365
Guatemala,2024,October,165
Guatemala,2024,November,310
Guatemala,2024,December,180
Guatemala,2024,Total,3170
Guatemala,2025,January,240
Guatemala,2025,February,550
Guatemala,2025,March,505
Guatemala,2025,April,415
Guatemala,2025,May,545
Guatemala,2025,June,350
Guatemala,2025,July,385
Guatemala,2025,August,345
Guatemala,2025,September,340
Guatemala,2025,October,475
Guatemala,2025,November,335
Guatemala,2025,December,295
Guatemala,2025,Total,4785
Guatemala,2026,January,425
Guatemala,2026,February,565
Guatemala,2026,March,585
Guatemala,2026,April,645
Guatemala,2026,May,515
Guatemala,2026,Total,2735
